Recipe,Link,Time (min),Ingredient,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,"2 lemongrass stalks, trimmed, tough outer layers removed, thinly sliced crosswise",396.0,2.54,0.412,,0.0,32.0,85.06,2.2,,14.98,0.0,5.2,56.0,4.28
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,3 Tbsp. finely chopped peeled galangal,,,,,,,,,,,,,,
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,"¾ cup dried Thai chiles, torn or chopped into small pieces",607.5,10.893749999999999,1.5243749999999998,0.0,0.0,170.625,130.9875,53.8125,76.98750000000001,19.8375,49665.0,58.875,84.375,11.325
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,"2 small Asian shallots or 1 medium shallot, coarsely chopped",360.0,0.5,0.085,0.0,0.0,60.0,84.0,16.0,39.35,12.5,20.0,40.0,185.0,6.0
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,8 garlic cloves,328.8,15.6,4.7424,0.3048,0.0,332.4,78.636,40.68,2.856,7.164,192.0,0.24,758.4,14.196
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,5 cilantro roots or 3 Tbsp. thinly sliced thick cilantro stems,287.5,6.5,0.17500000000000002,0.0,0.0,575.0,45.875,35.0,10.875,26.625,84350.0,337.5,837.5,22.125
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,1 1 piece dried kaffir lime zest or 2 very thinly sliced kaffir lime leaves (optional),150.0,1.0,0.10999999999999999,0.0,0.0,10.0,52.699999999999996,14.0,8.45,3.5,250.0,145.5,165.0,3.0
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,"1 tsp. (or more) shrimp paste, preferably Thai",5.0,0.068,0.0094,,12.600000000000001,43.5,0.0,0.0,0.0,1.0210000000000001,0.0,0.205,7.25,0.1065
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,A large mortar and pestle,261.24,21.3276,7.9883999999999995,,47.04,1046.6399999999999,2.562,0.0,0.0,13.7508,0.0,0.0,15.12,1.176
Red Curry Paste,https://www.bonappetit.com/recipe/red-curry-paste,0,Prik haeng chiles can be found at most Asian markets and will often be labeled as dried Thai chiles or just dried chiles. Prik chee fah chiles are much harder to source; the next best equivalent is Mexican puya chiles.,958.8,65.96,39.372,,210.79999999999998,2638.4,11.594,0.0,1.9040000000000001,83.946,1992.3999999999999,0.0,3896.4,0.442
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,2 tablespoons vegetable oil,258.59999999999997,30.0,24.45,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1/3 cup minced green onions (about 3),22.499999999999996,0.3916666666666666,0.0725,0.0,0.0,12.499999999999998,4.783333333333333,1.5,3.2583333333333333,0.8083333333333332,3333.333333333333,11.166666666666666,43.33333333333333,0.425
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,1 tablespoon minced peeled fresh ginger,39.449999999999996,3.102,1.07715,,10.5,186.75,0.276,0.0,0.0,2.442,0.0,0.0,1.5,0.1185
Red Curry Peanut Sauce,https://www.bonappetit.com/recipe/red-curry-peanut-sauce,0,"2 garlic cloves, minced",82.2,3.9,1.1856,0.0762,0.0,83.1,19.659,10.17,0.714,1.791,48.0,0.06,189.6,3.549
